Item.Num,zerofat,lowfat,highfat,organic,all.natural,probiotic,fiber,fob,SBS.cup,NCIT.cup,Flavor1,Brand,Class
3014,0,1,0,0,0,0,0,0,0,0,strawban,YO,REGULAR
7659,1,0,0,0,0,0,0,0,0,0,strawkiwi,DANNON,REGULAR
10144,0,1,0,1,0,1,0,0,0,0,plain,PVTLBL,REGULAR
10147,0,1,0,1,0,1,0,0,0,0,strawberry,PVTLBL,REGULAR
10149,0,1,0,1,0,1,0,0,0,0,blueberry,PVTLBL,REGULAR
10150,0,1,0,1,0,1,0,0,0,0,peach,PVTLBL,REGULAR
10153,0,1,0,1,0,1,0,0,0,0,vanilla,PVTLBL,REGULAR
10154,0,1,0,1,0,1,0,0,0,0,raspberry,PVTLBL,REGULAR
10157,0,1,0,1,0,1,0,0,0,0,plain,PVTLBL,NA
10159,0,1,0,1,0,1,0,0,0,0,vanilla,PVTLBL,NA
13614,0,1,0,0,0,0,0,0,0,0,strawberry,DANNON,REGULAR
13615,0,1,0,0,0,0,0,0,0,0,raspberry,DANNON,REGULAR
13616,0,1,0,0,0,0,0,0,0,0,blueberry,DANNON,REGULAR
13617,0,1,0,0,0,0,0,0,0,0,vanilla,DANNON,REGULAR
13618,0,1,0,0,0,0,0,0,0,0,"mixed berry",DANNON,REGULAR
16671,1,0,0,0,0,0,0,0,0,0,"mixed berry",PVTLBL,REGULAR
16680,1,0,0,0,0,0,0,0,0,0,raspberry,PVTLBL,REGULAR
16683,1,0,0,0,0,0,0,0,0,0,strawberry,PVTLBL,REGULAR
16692,1,0,0,0,0,0,0,0,0,0,peach,PVTLBL,REGULAR
16695,1,0,0,0,0,0,0,0,0,0,blueberry,PVTLBL,REGULAR
16734,0,1,0,1,0,1,0,0,0,0,strawberry,PVTLBL,NA
16735,0,1,0,1,0,1,0,0,0,0,blueberry,PVTLBL,NA
16736,0,1,0,1,0,1,0,0,0,0,raspberry,PVTLBL,NA
17465,0,1,0,0,0,0,0,0,0,0,strawban/raspberry,YO,NA
17537,0,1,0,0,0,0,0,0,0,0,cherry/punch,YO,NA
17990,0,1,0,0,0,0,0,0,0,0,keylimepie,YO,REGULAR
18678,1,0,0,0,0,0,0,0,0,0,keylime,PVTLBL,REGULAR
21144,1,0,0,0,0,0,0,0,0,0,orange,PVTLBL,REGULAR
21879,0,1,0,0,0,0,0,0,0,0,coffee,DANNON,REGULAR
21884,0,1,0,0,0,0,0,0,0,0,blackberry,PVTLBL,REGULAR
21887,1,0,0,0,0,0,0,0,0,0,blackberry,PVTLBL,REGULAR
21892,1,0,0,0,0,0,0,0,0,0,lemon,PVTLBL,REGULAR
21895,1,0,0,0,0,0,0,0,0,0,rasplemon,PVTLBL,REGULAR
21897,1,0,0,0,0,0,0,0,0,0,banana,PVTLBL,REGULAR
21928,0,1,0,0,0,0,0,0,0,0,vanilla,DANNON,NA
22034,0,1,0,1,0,1,0,1,0,0,"black cherry",PVTLBL,REGULAR
22036,0,1,0,1,0,1,0,1,0,0,blueberry,PVTLBL,REGULAR
22040,0,1,0,1,0,1,0,1,0,0,raspberry,PVTLBL,REGULAR
